12001,"来能说。	2017/12/2 9:24","柠檬树。	2017/12/2 9:24","给我唱一首。	2017/12/2 9:25"
13514,"我就正经和一。	2017/10/26 10:03","你大爷的你才那么不当心。	2017/10/26 10:03","我操你个大晴天，说起呢？	2017/10/26 10:03"
13515,"你还记得我叫什么名吗？	2017/12/27 15:31","要多可爱呀有你可爱吗？	2017/12/27 15:32","你是萌萌哒。	2017/12/27 15:32"
13516,"我叫白晨宇，我住在陕南。	2017/12/28 21:58","我要听历史。	2017/12/28 21:58","唱一首儿歌。	2017/12/28 22:04"
13517,"的小鸟的歌。	2017/12/10 16:49","愤怒的小鸟。	2017/12/10 16:52","我要听愤怒的小鸟。	2017/12/10 16:52"
13518,"差不多了哦，兄弟超级英雄。	2017/11/2 17:12","唱奔跑吧兄弟超级英雄。	2017/11/2 17:12","唱陈伟霆的爱你一万年。	2017/11/2 17:12"
13519,"铁锅小笨。	2017/12/17 13:03","嘿嘿。	2017/12/17 13:03","好朋友。	2017/12/17 13:03"
13520,"唱一首逆光来听一下。	2017/12/28 10:23","叫你唱一首逆光给我听。	2017/12/28 10:24","唱一首新白娘子传奇来听。	2017/12/28 10:27"
13521,"错爱。	2017/10/26 15:08","明明白白你的心。	2017/10/26 15:11","错爱错爱。	2017/10/26 15:15"
13522,"刀郎的歌。	2017/10/26 15:45","关闭音乐。	2017/10/26 15:55","射雕英雄传的主题歌。	2017/11/29 9:30"
13523,"北京明天天气有今天冷吗？	2017/11/14 15:57","北京明天有今天冷吗？	2017/11/14 15:58","老树昏鸦。	2017/11/14 15:58"
13524,"六等于多少。	2017/12/23 19:30","唱一首。	2017/12/23 19:30","听听歌。	2017/12/23 19:31"
13525,"小红帽。	2017/11/28 9:52","四只小天鹅。	2017/11/28 9:54","大王叫我来巡山。	2017/11/28 10:07"
13526,"儿子醒了，要镶牙了，整机售价一套，你该往床比较好。	2017/10/26 15:54","她那了其他东东啊，冲啊冲啊。	2017/10/26 15:54","丁俊，他居然还花我一年还要能做得出来，多一些，你刚才要下载个干妈妈会吗，该干嘛干嘛呀happy呀，主啊。	2017/10/26 16:25"
13527,"打开导航。	2017/10/26 19:39","播放方清平的相声。	2017/10/26 22:11","我曾爱过。	2017/11/29 16:52"
13528,"我要听个雷龙故事。	2017/12/25 23:58","听个歌曲。	2017/12/25 23:59","唱一首小沈阳的好兄弟。	2017/12/26 0:00"
13529,"听歌。	2017/11/29 9:47","听歌。	2017/11/29 12:27","听歌。	2017/11/29 16:26"
13530,"爱是永恒。	2017/11/29 14:26","爱如潮水。	2017/11/29 14:27","欢喜就好。	2017/11/29 14:29"
13531,"我不要听。	2017/12/25 18:06","当然了。	2017/12/25 18:07","好想你要记住我的名字。	2017/12/25 18:07"
13532,"你妹，就一个字。	2017/10/26 20:18","哥哥我岸上走。	2017/10/26 20:18","我是我是汉子。	2017/10/26 20:18"
13533,"智能机器人。	2017/11/29 17:15","给我来一首。	2017/11/29 17:15","你牛什么牛。	2017/11/29 17:16"
13534,"以后就叫我老公。	2017/11/29 0:56","对。	2017/11/29 0:56","我是你的谁。	2017/11/29 0:57"
13535,"你怎么？	2017/12/20 13:22","没电了，原来。	2017/12/20 13:22","哈哈哈，你的音量在哪里调节啊。	2017/12/20 13:22"
13536,"大山。	2017/11/29 9:18","钱枫和白的造型是那看呀，酒吧方向300米处有监控的违章拍照。	2017/11/29 9:18","暗香。	2017/11/29 9:19"
13537,"鸿雁飞飞。	2017/10/26 3:56","歌在飞。	2017/10/26 3:56","咱们去结婚吗？	2017/10/26 3:57"
13538,"帮我点一首歌。	2017/11/29 12:53","非稍微小一点谢谢。	2017/11/29 12:53","帮我点一首歌。	2017/11/29 13:10"
13539,"刘大美女。	2017/10/26 7:54","战神针扎生吧。	2017/10/26 7:54","在人间。	2017/10/26 7:56"
13540,"他不想我都弄点钱。	2017/11/29 2:27","还进了瓶里有句在说，估计啦。	2017/11/29 2:27","他们肯定就是不想给，那一天，要在第一次去踢足球的问题，您开在哪里，不会的。	2017/11/29 2:27"
13541,"你们两个不要在一起玩了以后。	2017/12/24 8:42","有所谓。	2017/12/24 8:42","世界上有怪物吗？	2017/12/24 8:54"
13542,"你几岁啦。	2017/11/29 11:27","你的家在哪。	2017/11/29 11:27","谁是你的主人。	2017/11/29 11:27"
13543,"放一首金琳。	2017/11/29 8:00","增大音量。	2017/11/29 8:01","放一首金琳。	2017/11/29 8:39"
13544,"生生世世爱。	2017/12/27 19:32","此生不换。	2017/12/27 19:32","此生不换。	2017/12/27 19:35"
13545,"炎炎烟店镇人民政府。	2017/11/29 10:22","潘庄镇人民政府。	2017/11/29 10:23","孙楠。	2017/11/29 10:24"
13546,"吃饭。	2017/11/29 17:11","回家。	2017/11/29 17:12","听歌。	2017/11/29 17:13"
13547,"记住你的名字叫小智。	2017/12/28 9:08","找了一个小剧场。	2017/12/28 9:08","记住你的名字叫小智。	2017/12/28 9:09"
13548,"主要就是成为，成为救助完之后，就是，打电话约约约约约见面的客户，还有就是陌生拜访啊，哦，今天的。	2017/11/29 8:30","你要做的，最近十家店，好，我的思想完毕。	2017/11/29 8:30","老板已经心动了，然后就是这个明天那个的准备钱，我们就是和名师打通。	2017/11/29 8:30"
13549,"我想听郭德纲的相声。	2017/12/21 20:10","叫爸爸。	2017/12/21 20:12","泰国情歌。	2017/12/21 20:13"
13550,"量己审妄至。	2017/12/12 21:17","接着我用手把它的表面磨平了。	2017/12/12 21:17","给我们唱一首儿歌吧。	2017/12/15 20:14"
13551,"你会生气吗？	2017/12/30 9:03","你真棒。	2017/12/30 9:04","一首刘德华的歌。	2017/12/30 9:04"
13552,"哦那算了吧。	2017/12/30 19:14","说。	2017/12/31 19:30","播鹅鹅鹅。	2017/12/31 19:30"
13553,"华坪。	2017/11/29 8:19","我要听华坪定华勤。	2017/11/29 8:20","我要听dj。	2017/11/29 8:41"
13554,"说对了。	2017/10/26 10:44","不减啦，不说了。	2017/10/26 10:44","查看你好。	2017/10/26 10:44"
13555,"哦。	2017/12/8 8:37","到我。	2017/12/8 8:37","我爱北京天安门。	2017/12/8 9:56"
13556,"我爱的你在想我吗？	2017/11/29 6:02","我还在等着你。	2017/11/29 6:02","18年。	2017/11/29 6:04"
13557,"五月天。	2017/10/26 17:46","五月天。	2017/10/26 17:46","突然好想你。	2017/10/26 17:47"
13558,"我想听歌曲踏浪。	2017/11/29 21:39","我想听国家。	2017/11/29 21:43","我想听苦。	2017/11/29 21:44"
13559,"你好小优。	2017/10/26 19:01","放音乐。	2017/10/26 19:01","音乐。	2017/10/26 19:01"
13560,"见了漂亮。	2017/10/26 20:48","化装舞会。	2017/10/26 20:48","小跳蚤。	2017/10/26 20:53"
13561,"几岁啦。	2017/11/29 15:19","你是男的女的。	2017/11/29 15:19","来个小苹果。	2017/11/29 15:32"
13562,"一个就ok啦，没什么问题啊。	2017/11/29 10:40","丑小鸭。	2017/11/29 11:07","这是刘德华的爱。	2017/11/29 11:08"
13563,"播放本地音乐。	2017/10/26 16:50","播放本地音乐。	2017/10/26 17:46","棒棒堂的音乐。	2017/11/29 12:12"
13564,"泰国的天气怎么样？	2017/12/13 18:15","在范围内。	2017/12/13 18:15","给我唱首歌。	2017/12/13 18:31"
13565,"对呀我喜欢吃肉哦。	2017/12/7 11:52","好我知道了。	2017/12/7 11:52","我不明白你为什么老是吃青菜？	2017/12/7 11:52"
13566,"奥特曼。	2017/11/29 20:59","喂。	2017/11/29 21:02","嗯。	2017/11/29 21:02"
13567,"放一首三年。	2017/10/26 15:20","播放一首三年。	2017/10/26 15:20","胖子，只许买地皮然后直接修理工作，这些开着我孩子我不和啊，当他不完整，我不是她不完美，他只猪给你。	2017/11/29 0:07"
13568,"点播江湖。	2017/11/29 8:32","点播，广场舞。	2017/11/29 9:01","点播广场舞。	2017/11/29 9:02"
13569,"给我唱一首隐形的翅膀。	2017/12/3 11:35","唱首歌。	2017/12/3 11:36","唱首歌。	2017/12/3 11:37"
13570,"怕啥啥时候死，咱没礼物。	2017/11/29 11:38","暂时没有就没有交流，狗们有就害怕吧。	2017/11/29 12:55","不要不要啊你，100多块钱够不够，汉子160。	2017/11/29 12:56"
13571,"赋得古原。	2017/11/27 18:25","你好小笨。	2017/11/27 18:25","我要听席勒。	2017/12/2 10:04"
13572,"有哪关了。	2017/11/23 17:05","傅纳瓜。	2017/11/23 17:05","我不想听你那个小乖了。	2017/11/23 17:06"
13573,"退出。	2017/11/29 12:58","打开记录仪。	2017/11/29 12:59","我要听音乐，摆渡人。	2017/11/29 13:02"
13574,"我的世界。	2017/10/26 20:49","我上学前班。	2017/10/26 20:49","拉丁舞芭蕾舞。	2017/10/26 20:57"
13575,"这是最常见的不良的开关的话你那个要赶快寄给我。	2017/12/28 22:45","就是按键开关。	2017/12/28 22:45","亲。	2017/12/28 22:46"
13576,"帮我搜一首雨花石歌曲。	2017/11/29 9:06","有个你给我那个最炫，学习语文需要的是。	2017/11/29 18:07","就是写在我的提问吗，题目，你的题目是我的提问啊，所有的都是我的提问，就像你写的是。	2017/11/29 18:07"
13577,"啊。	2017/10/26 10:06","附近有厕所吗？	2017/10/26 10:06","听音乐。	2017/10/26 10:07"
13578,"唱个儿歌。	2017/11/16 8:53","真的是金子。	2017/11/16 8:53","电子。	2017/11/16 8:54"
13579,"门前大桥下。	2017/12/13 15:21","唱一首，荆州花鼓戏。	2017/12/13 15:22","唱一首赵华强。	2017/12/13 15:23"
13580,"听歌。	2017/11/29 9:52","听30出头的歌，30出头。	2017/11/29 9:52","陈瑞的成都。	2017/11/29 9:57"
13581,"我要亲啊，郭富城的歌曲。	2017/10/26 0:28","王菁。	2017/10/26 0:30","再来再来个。	2017/10/26 0:30"
13582,"转一个跟驴有关的蠢	2017/11/29 20:55","讲一个跟时代有关的传说	2017/11/29 20:55","有一个传说	2017/11/29 20:55"
13583,"警察。	2017/12/3 13:50","唱小苹果。	2017/12/3 14:21","给我背下小苹果。	2017/12/3 14:25"
13584,"你叫什么名字。	2017/11/13 16:45","你叫什么名字。	2017/11/13 16:45","给我唱首歌。	2017/11/13 16:46"
13585,"播放告白气球。	2017/11/29 17:51","播放夜的第七章。	2017/11/29 17:55","远走高飞。	2017/11/29 17:55"
13586,"没有你陪伴真的好孤单。	2017/10/26 14:01","弃爱。	2017/10/26 14:15","心碎。	2017/10/26 14:18"
13587,"给我唱一首强军战歌。	2017/11/12 11:51","一。	2017/11/12 12:04","唱小白船。	2017/11/22 19:08"
13588,"住宅的未来。	2017/10/26 17:13","一人，我埋地雷。	2017/10/26 17:16","爱得起。	2017/10/26 17:18"
13589,"关机。	2017/11/4 12:32","你怎么了你说这什么问题？	2017/11/4 12:32","换歌。	2017/11/5 11:45"
13590,"哥娘娘。	2017/11/6 20:20","娘娘。	2017/11/6 20:20","刘德华刘德华的歌。	2017/11/6 20:20"
13591,"熊的武器。	2017/12/21 18:32","来首唐诗。	2017/12/21 18:32","小机器人。	2017/12/21 18:32"
13592,"弦子。	2017/11/29 17:53","弦子。	2017/11/29 17:53","摇篮曲。	2017/11/29 17:54"
13593,"你会吃吗？	2017/12/15 18:35","那你没鬼吧。	2017/12/15 18:35","我跟她说话，你想吃吗？	2017/12/15 18:36"
13594,"我想听远走高飞。	2017/11/29 15:13","我想听小幸运。	2017/11/29 15:32","我要听孟巍的爱情。	2017/11/29 16:16"
13595,"你是不是二瞎子。	2017/12/27 13:25","唱首歌好不好。	2017/12/27 13:25","你唱首不一样哇。	2017/12/27 13:28"
13596,"唱一首大泉的悟空。	2017/11/9 13:18","唱一首。	2017/11/9 13:18","唱一首。	2017/11/9 13:20"
13597,"说了英语怎么拼，我不知道？	2017/11/26 11:43","起个名字叫小平。	2017/11/26 11:44","我该取个名字叫小苹果你怎么样？	2017/11/26 11:44"
13598,"9420	2017/11/29 21:16","放一首麦小兜的9420	2017/11/29 21:16","放一首再也没有	2017/11/29 21:16"
13599,"要安装，按住说话还是。	2017/12/29 12:07","你叫什么名字啊。	2017/12/29 12:07","我要听儿歌。	2017/12/29 12:07"
13600,"无语问苍天。	2017/11/29 2:00","无语问苍天。	2017/11/29 2:02","风格，衰。	2017/11/29 2:18"
13601,"再来一个。	2017/12/29 12:15","跟读五。	2017/12/29 12:15","找一首佛歌吧。	2017/12/30 9:22"
13602,"杨的。	2017/12/13 20:14","哎怎么玩怎么玩我不怪他？	2017/12/13 20:18","我靠你怎么这样啊？	2017/12/13 20:18"
13603,"今天天气	2017/10/26 11:38","播放秘密。	2017/10/26 11:38","hello。	2017/10/26 11:38"
13604,"你在干嘛	2017/10/26 21:52","你在干嘛呀	2017/10/26 21:52","来个歉吧	2017/10/26 21:52"
13605,"可瓦村。	2017/11/29 13:12","可骂蠢。	2017/11/29 13:12","High歌吗？	2017/11/29 13:12"
13606,"好啊你说。	2017/12/25 20:37","三字经呢？	2017/12/25 20:37","甩葱歌。	2017/12/25 20:39"
13607,"点一首站在草原看北京	2017/10/26 11:46","点一首站在草原看北京	2017/10/26 11:46","点一首刘德华的冰雨	2017/10/26 11:47"
13608,"帮我关机。	2017/10/26 0:41","我儿子是谁。	2017/10/26 14:13","你倒是说一句话他有你说话，我叫韩寒。	2017/10/26 14:14"
13609,"我要听对面的姑娘看过来	2017/11/29 18:19","我要听对面的女孩看过来	2017/11/29 18:19","我要听义勇军进行曲	2017/11/29 18:26"
13610,"关键你都不会啊。	2017/11/11 10:12","我让你休息会儿。	2017/11/11 10:12","我唱的世界杯的主题曲。	2017/11/11 10:12"
13611,"欢乐的儿歌。	2017/12/24 18:22","嗯。	2017/12/24 18:24","唱一首欢乐的。	2017/12/24 18:25"
13612,"忽然好想你。	2017/11/29 22:04","红尘有你不寂寞。	2017/11/29 22:08","爱了给了伤了痛了。	2017/11/29 22:15"
13613,"大头龙。	2017/12/7 20:24","读儿歌。	2017/12/7 20:24","霸王龙。	2017/12/7 20:24"
13614,"打开fm发射器。	2017/10/26 16:15","播放音乐。	2017/10/26 16:46","放音乐。	2017/10/26 17:09"
13615,"楼主哦。	2017/10/26 9:31","张洪量。	2017/10/26 10:00","有一个朋友是你。	2017/10/26 13:10"
13616,"给我讲个笑话儿。	2017/11/29 12:05","这个不好笑。	2017/11/29 12:06","小云，来个笑话。	2017/11/29 12:06"
13617,"童年的回忆。	2017/12/25 18:18","向前进。	2017/12/25 18:18","我们在哪里有毛片。	2017/12/25 18:18"
13618,"关闭音乐。	2017/11/29 16:10","打开音乐。	2017/11/29 16:10","Blue的音乐。	2017/11/29 16:10"
13619,"简单，对不起	2017/10/26 21:34","见，对不起	2017/10/26 21:34","我爱你你却爱着他	2017/10/26 21:46"
13620,"哇你好笨哦。	2017/12/23 21:28","你真的很聪明吗？	2017/12/23 21:28","一首张惠妹的听。	2017/12/23 21:29"
13621,"谢谢。	2017/11/29 14:48","好的你可以休息了。	2017/11/29 14:48","我想你了。	2017/11/29 14:50"
13622,"播放一首鹿晗的歌。	2017/12/27 21:37","播放，刚好遇见你。	2017/12/27 21:39","放首开心的。	2017/12/27 22:50"
13623,"唱拔萝卜。	2017/12/3 11:46","跳小苹果。	2017/12/3 11:48","小朋友在哪里。	2017/12/3 11:48"
13624,"刘忻。	2017/12/2 12:51","你我。	2017/12/2 12:51","二哥。	2017/12/2 12:55"
13625,"童话镇歌曲。	2017/10/26 8:53","陈一发儿童话镇。	2017/10/26 8:53","听一首花儿的歌。	2017/10/26 8:54"
13626,"只鸭子。	2017/11/16 21:57","唱首五只鸭子。	2017/11/16 21:57","数鸭子。	2017/11/16 21:58"
13627,"张一清。	2017/10/26 8:06","你要是被他撞到你了，嗯，上学了。	2017/10/26 8:28","吃吧给他吃了，你吃饭。	2017/10/26 8:28"
13628,"qq音乐。	2017/11/29 16:38","qq音乐。	2017/11/29 16:38","把它不识别的是我，我说得对。	2017/11/29 16:38"
13629,"我播放相声郭德纲。	2017/10/26 0:15","播放张学友的。	2017/10/26 3:24","查找周传雄。	2017/10/26 3:29"
13630,"我要听小二郎。	2017/10/26 12:00","我要听张震岳的爱的初体验。	2017/11/29 11:52","我要听老狼的成都。	2017/11/29 11:57"
13631,"请问你在干嘛。	2017/10/26 8:37","你咋这么坏啊。	2017/10/26 8:38","你是我的星球。	2017/10/26 8:38"
13632,"彩虹的约定。	2017/12/17 11:04","在干嘛。	2017/12/17 11:17","男朋友说你饿了，唱首歌。	2017/12/17 11:18"
13633,"嗯。	2017/12/16 20:33","没有的呢？	2017/12/16 20:33","你唱歌呀。	2017/12/16 20:33"
13634,"鲍尔。	2017/12/8 20:10","明天天气预报。	2017/12/8 20:11","伍佰痛苦的人。	2017/12/8 20:11"
13635,"村居。	2017/11/29 19:39","牵牛花吹喇叭。	2017/11/29 19:41","萤火虫小夜曲。	2017/11/29 19:41"
13636,"这会给那快感，笑话。	2017/10/26 11:09","你哑巴。	2017/10/26 14:19","张三的电话她说三我1366年六个月，自称要做。	2017/10/26 14:19"
13637,"高富帅。	2017/11/29 11:13","失恋阵线联盟。	2017/11/29 11:14","老婆你辛苦了。	2017/11/29 11:14"
13638,"刘德华。	2017/11/29 7:25","刘德华。	2017/11/29 7:25","我听他的歌。	2017/11/29 7:26"
13639,"我要听。	2017/10/26 16:25","我要听。	2017/10/26 16:25","我要听赵雷的成都。	2017/10/26 16:48"
13640,"菜菜菜菜。	2017/11/29 19:40","菜菜菜。	2017/11/29 19:40","来儿歌。	2017/11/29 19:50"
13641,"我可以为你改名字吗？	2017/10/26 23:20","我可以为你把名字改了吗？	2017/10/26 23:20","我给你的名字可以吗？	2017/10/26 23:21"
13642,"哦。	2017/12/13 19:56","你真聪明。	2017/12/13 19:56","李健的歌吧。	2017/12/13 19:56"
13643,"早点睡。	2017/11/29 12:36","你喝水了。	2017/11/29 12:36","你说啥呢你说爱我哇。	2017/11/29 12:36"
13644,"小草。	2017/12/6 20:02","还挺好。	2017/12/6 20:17","唱小草。	2017/12/7 8:44"
13645,"量词歌。	2017/11/29 7:01","一头牛。	2017/11/29 7:01","唱歌。	2017/11/29 18:37"
13646,"放首歌来听。	2017/10/26 16:24","打开微信。	2017/10/26 16:24","放一首刘德华的歌。	2017/10/26 16:25"
13647,"讲个笑话。	2017/12/28 7:24","不听话了。	2017/12/28 7:24","唱一首歌吧。	2017/12/28 7:32"
13648,"后来。	2017/11/29 11:06","客气。	2017/11/29 11:06","wake up。	2017/11/29 11:06"
13649,"也不便宜。	2017/11/29 16:38","周末都在加班。	2017/11/29 16:38","唔使惊，那就来的，五公里能坐办公室，来得及收钱的，蜡烛，他他就是他他他不会说噻。	2017/11/29 16:39"
13650,"咱们聊会儿天吧。	2017/11/29 17:04","原来还可以。	2017/11/29 17:04","小沈阳的她。	2017/11/29 18:21"
13651,"我要听	2017/10/26 18:25","我要听，20年后的我	2017/10/26 18:25","我要听卖报歌	2017/10/26 18:26"
13652,"带我去环绕地球。	2017/11/29 14:35","心碎。	2017/11/29 14:36","小薇。	2017/11/29 16:43"
13653,"啊我问你个事儿。	2017/10/26 17:16","啊，那个你给我找一首那个流行一点的火爆一点的那个音乐。	2017/10/26 17:16","给我找首音乐，买一杯咖啡了。	2017/10/26 17:17"
13654,"太慢了。	2017/12/28 7:11","妈的。	2017/12/28 7:11","小鸡。	2017/12/28 7:15"
13655,"给我唱一首五环之歌。	2017/11/7 12:36","给我唱一首为爱流下伤心泪。	2017/11/7 12:37","给我唱一首花桥流水。	2017/11/7 12:38"
13656,"你唱一首歌给我听一下。	2017/12/18 16:29","我们不一样。	2017/12/18 16:31","我要听。	2017/12/18 16:31"
13657,"赞啊赞啊赞啊，你要的都给我我给你找到一个我都我都定那了。	2017/10/26 16:11","老华。	2017/10/26 16:11","你说的往哪去，因为在我晚上才去，我的旗舰版我是我的银行送给您，他来到的来不及。	2017/10/26 16:11"
13658,"于丹。	2017/10/26 11:41","没那么大。	2017/10/26 13:42","放一首孟婆的碗。	2017/10/26 13:43"
13659,"打开美女	2017/11/29 1:17","打开美女	2017/11/29 1:18","小芳	2017/11/29 1:18"
13660,"你都会些什么呢？	2017/12/30 11:30","那你唱首歌给我听。	2017/12/30 11:30","唱小苹果。	2017/12/30 11:31"
13661,"搜索索郎扎西。	2017/11/29 22:09","播放，说郎扎西。	2017/11/29 22:09","搜索，索南扎西。	2017/11/29 22:11"
13662,"卡卡。	2017/10/26 17:11","她说死字写最先写的人。	2017/10/26 17:18","给我唱一首北郊。	2017/10/26 17:22"
13663,"背古诗。	2017/12/23 14:31","三字经。	2017/12/23 14:31","唱一首小苹果。	2017/12/23 14:32"
13664,"下一首。	2017/10/26 21:25","歌词呢？	2017/10/26 21:26","远走高飞。	2017/10/26 21:26"
13665,"我可以给你起个名吗？	2017/11/29 12:41","我可以给你起个名字吗，叫韩馨彤。	2017/11/29 12:41","我要给你起个名字。	2017/11/29 12:41"
13666,"筷子兄弟我们是太阳伴奏吧。	2017/11/29 16:25","筷子兄弟我们是太阳伴奏吧。	2017/11/29 16:25","而且。	2017/11/29 20:38"
13667,"跳舞。	2017/12/31 9:08","录音。	2017/12/31 11:34","i am you could。	2017/12/31 11:35"
13668,"再见。	2017/11/29 16:16","你好小乐。	2017/11/29 16:16","哎一说然后你想干什么就告诉他，嗯，一脱了，嗯。	2017/11/29 16:16"
13669,"但是听你的了我们是好朋友呀。	2017/12/13 12:38","轻音乐。	2017/12/13 12:38","哎，结果，林俊杰的歌。	2017/12/13 12:42"
13670,"你给我点一个鼻子。	2017/12/22 7:53","你给我唱一个。	2017/12/22 7:54","示儿儿歌残酷别上。	2017/12/22 8:02"
13671,"没有啦谢谢	2017/10/26 11:36","还通过这个更好的可视化的我	2017/10/26 11:36","我是一个零度的时候那一定是你平时就欠了不少的	2017/10/26 11:37"
13672,"嗯我想应该也是吧。	2017/12/16 21:11","你认不认识高富强啊。	2017/12/16 21:11","高夫球，长得帅不帅呀。	2017/12/16 21:12"
13673,"不要的，珠海到深圳的车是几点呢？	2017/12/20 21:42","一节。	2017/12/20 21:42","我要听。	2017/12/20 21:46"
13674,"打开微信。	2017/10/26 12:10","我想听歌。	2017/10/26 12:14","放首dj e。	2017/10/26 12:19"
13675,"逛街买鞋子喽。	2017/12/10 9:54","你。	2017/12/10 9:54","找我干嘛，400。	2017/12/10 9:54"
13676,"什么意思。	2017/10/26 17:48","好搞笑的话。	2017/10/26 17:48","你在哪里住。	2017/10/26 17:48"
13677,"唱小苹果。	2017/12/20 19:46","最炫民族歌。	2017/12/21 9:01","小跳蛙。	2017/12/21 9:10"
13678,"跳个舞。	2017/12/19 20:10","跳个舞。	2017/12/19 20:11","相逢。	2017/12/19 20:11"
13679,"数鸭子。	2017/12/22 17:47","五。	2017/12/22 18:11","给我唱首丢手绢。	2017/12/23 9:03"
13680,"小薇你好。	2017/11/29 16:34","爱情导航到天府广场。	2017/11/29 16:34","那个朗诵一首唐诗。	2017/11/29 16:34"
13681,"今天深圳下雨吗？	2017/11/2 9:47","小唐是谁。	2017/11/2 9:47","星球在哪里。	2017/11/2 9:47"
13682,"走咯，那首歌的名字叫，我想要。	2017/12/24 15:31","宝贝宝贝。	2017/12/24 15:31","我要听幸福的。	2017/12/24 15:32"
13683,"为什么你昨天不接我电话今天有拨打我号码？	2017/11/29 17:39","你是谁。	2017/11/29 17:39","错错错。	2017/11/29 17:40"
13684,"我也想你。	2017/12/18 20:15","哎呀我也挺想你，唱个小苹果呗。	2017/12/18 20:15","唱支茉莉花吧。	2017/12/18 20:21"
13685,"北屏乡。	2017/11/29 8:29","依米。	2017/11/29 9:15","我要我要听诸葛亮请给我播放社会摇。	2017/11/29 12:28"
13686,"延北小区。	2017/10/26 11:55","船厂路，原创社。	2017/10/26 13:33","陪我到可可西里去看海。	2017/10/26 13:35"
13687,"千年缘。	2017/11/29 18:36","给我来首王菲的传奇。	2017/11/29 18:36","我想要周杰伦的简单爱，	2017/11/29 18:36"
13688,"嗯。	2017/12/30 12:07","大家说说心里话。	2017/12/30 16:05","妈妈的吻。	2017/12/30 16:06"
13689,"请播放一首世上只有妈妈好。	2017/10/26 19:08","你好东方，请播放一首世上只有妈妈好。	2017/10/26 19:08","祝妈妈好，你好东方，请播放一首世上只有妈妈好。	2017/10/26 19:17"
13690,"喂喂喂	2017/10/26 6:38","a呀啦啦啦的，喂喂	2017/10/26 6:38","愕然了，拜拜，away	2017/10/26 6:38"
13691,"左手右手我要听。	2017/11/29 16:45","我要听左手右手。	2017/11/29 16:45","我要听左手右手。	2017/11/29 16:47"
13692,"小鱼你好。	2017/11/29 18:35","音量调大。	2017/11/29 18:35","的音乐。	2017/11/29 18:36"
13693,"叫妈妈。	2017/12/31 15:21","和你做好朋友吗？	2017/12/31 17:20","没放一首好听的歌给我听吗？	2017/12/31 17:21"
13694,"唱一首茉莉花吗？	2017/12/23 9:14","你今年几岁啦。	2017/12/23 9:14","两只老虎。	2017/12/23 9:15"
13695,"阿露。	2017/11/29 14:43","播报一下市飞翔建材市场。	2017/11/29 14:43","Leo。	2017/11/29 14:44"
13696,"我我说你能用好了以后你给我，很有范儿，你懂吗，她用了它怎么用呢，黄那个的面？	2017/10/26 16:37","那是啥我以为我马上过去看看去，他不会那啥了，我看着他用了？	2017/10/26 16:37","哦没事儿我我一会儿过去看见她和我给他打电话他不接。	2017/10/26 16:37"
13697,"退出，成语接龙。	2017/12/18 21:02","你去死吧你。	2017/12/18 21:02","帮我放一首爱我你就亲亲我。	2017/12/18 21:05"
13698,"跳舞。	2017/11/26 18:36","唱小龙人。	2017/11/26 18:37","唱小龙人。	2017/11/27 8:40"
13699,"哦。	2017/12/8 13:39","逆流成河。	2017/12/8 13:40","我在听，再也不要想起。	2017/12/8 13:41"
13700,"认错。	2017/11/29 20:19","犯贱。	2017/11/29 20:19","时间，族女。	2017/11/29 20:20"
13701,"雨中漫步。	2017/11/19 11:38","蓝色多瑙河。	2017/11/19 11:40","水手。	2017/11/19 11:41"
13702,"武汉在哪里。	2017/12/22 10:06","你不聪明吗？	2017/12/22 10:07","那抒情的歌。	2017/12/22 10:07"
13703,"有是的好。	2017/11/29 9:37","你好。	2017/11/29 9:44","老师您好。	2017/11/29 9:51"
13704,"杀猪刀。	2017/12/19 18:04","寒山。	2017/12/19 18:04","i love you。	2017/12/19 18:05"
13705,"注意保养检查一下，不知道这些道理给杀了。	2017/11/29 14:41","急需。	2017/11/29 14:42","播歌。	2017/11/29 14:42"
13706,"背背三字经。	2017/12/17 16:47","三字经。	2017/12/17 16:47","不过一个刘若英的代表作。	2017/12/17 19:59"
13707,"卖。	2017/12/3 0:34","你是谁，你的名字叫什么。	2017/12/12 19:12","唱马兰谣。	2017/12/12 19:13"
13708,"播放歌曲洪荒之旅。	2017/10/26 16:40","播放歌曲breath and life。	2017/10/26 16:40","的音乐。	2017/10/26 16:41"
13709,"播放远走高飞。	2017/11/29 8:23","取消。	2017/11/29 8:23","我要听歌。	2017/11/29 12:40"
13710,"请播放小曾喊麦的歌。	2017/10/26 21:53","请播放盲目的歌。	2017/10/26 21:55","请播放盲目好吗？	2017/10/26 21:55"
13711,"小西红。	2017/10/26 0:43","小鸡公5c2c公庄店。	2017/10/26 0:43","甲基红，多方便。	2017/10/26 0:44"
13712,"如果说。	2017/10/26 9:19","春风吹。	2017/10/26 9:19","那一次。	2017/10/26 9:20"
13713,"给我唱首歌。	2017/12/26 20:21","请为我唱首歌，草原道北。	2017/12/26 20:21","给我唱一首歌，爱的奉献。	2017/12/26 20:22"
13714,"这是你的名字。	2017/12/22 11:09","穿上萌萌哒。	2017/12/22 11:09","唱一首小苹果。	2017/12/22 11:10"
13715,"换一首，只要你过得比我好。	2017/11/29 9:16","播放下一首歌。	2017/11/29 9:24","唱一首歌。	2017/11/29 9:30"
